Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
The Dude	22:24 10/3/2012	140
Mike	22:24 10/3/2012	160
Tom	22:24 10/3/2012	131
TomH	22:25 10/3/2012	134
Jim	22:25 10/3/2012	80
Lana	22:25 10/3/2012	115
The Dude	22:25 10/3/2012	165
Mike	22:25 10/3/2012	150
Tom	22:26 10/3/2012	109
TomH	22:26 10/3/2012	106
Lonely	22:26 10/3/2012	126
The Dude	22:26 10/3/2012	111
Mike	22:26 10/3/2012	145
Tom	22:26 10/3/2012	124
